100; 100; blue; 3
150; 150; black; 3
200; 200; red; 3
250; 250; blue; 3
300; 300; black; 3
350; 350; red; 3
400; 400; blue; 3
450; 450; black; 3
100; 400; red; 3
150; 350; black; 3
200; 300; blue; 3
250; 250; red; 3
300; 200; black; 3
350; 150; blue; 3
400; 100; red; 3
450; 50; black; 3
50; 250; black; 3
100; 250; red; 3
150; 250; blue; 3
200; 250; black; 3
250; 250; red; 3
300; 250; blue; 3
350; 250; black; 3
400; 250; red; 3
450; 250; blue; 3
250; 50; blue; 3
250; 100; red; 3
250; 150; black; 3
250; 200; blue; 3
250; 250; red; 3
250; 300; black; 3
250; 350; blue; 3
250; 400; red; 3
250; 450; black; 3
100; 50; black; 3
200; 100; red; 3
300; 150; blue; 3
400; 200; black; 3
100; 450; red; 3
200; 400; blue; 3
300; 350; black; 3
400; 300; red; 3
50; 450; blue; 3
